,steps,episodes,loss,averageReturn
154,1919,1550,0.005410213489085436,-8.0
155,1929,1560,0.003940558526664972,-2.0
156,1939,1570,-0.0017359815537929535,6.0
157,1949,1580,0.0033604626078158617,-2.0
158,1959,1590,0.0043232254683971405,-6.0
159,1969,1600,0.0014643510803580284,0.0
160,1979,1610,0.00184546853415668,-2.0
161,1989,1620,-0.0024543171748518944,-2.0
162,1999,1630,0.006111045368015766,-4.0
163,2009,1640,0.006190309766680002,-4.0
164,2019,1650,0.004852191545069218,2.0
165,2029,1660,0.012436102144420147,0.0
166,2039,1670,0.0048109679482877254,-4.0
167,2049,1680,-0.0004746920894831419,-4.0
168,2059,1690,0.004324500914663076,2.0
169,2069,1700,0.00019201336544938385,0.0
170,2080,1710,0.8035937547683716,1.0
171,2090,1720,0.006599350832402706,0.0
172,2100,1730,0.0024020534474402666,-6.0
173,2110,1740,0.008576702326536179,-2.0
174,2120,1750,-0.0038262896705418825,-2.0
175,2131,1760,-0.09569989144802094,1.0
176,2141,1770,0.0007185456342995167,-2.0
177,2151,1780,0.0037372601218521595,-2.0
178,2161,1790,-0.0006599175976589322,-8.0
179,2171,1800,0.0010771357920020819,-2.0
180,2183,1810,-0.6763404607772827,-2.0
181,2193,1820,0.010430068708956242,2.0
182,2203,1830,0.006968960165977478,-4.0
183,2213,1840,0.0029217172414064407,2.0
184,2225,1850,0.04896460846066475,-4.0
185,2235,1860,0.004615412093698978,-2.0
186,2245,1870,0.0013538954081013799,-2.0
187,2255,1880,4.788753722095862e-05,-6.0
188,2265,1890,0.0016013479325920343,0.0
189,2275,1900,0.0005552612128667533,0.0
190,2285,1910,0.015321945771574974,-2.0
191,2295,1920,0.00043580177589319646,0.0
192,2305,1930,0.0020538601092994213,0.0
193,2315,1940,0.0017524419818073511,2.0
194,2325,1950,0.003541054204106331,-6.0
195,2335,1960,-0.0005731716519221663,-4.0
196,2345,1970,0.001089969533495605,-4.0
197,2355,1980,0.005573458503931761,0.0
198,2365,1990,-0.002164182486012578,0.0
199,2375,2000,0.001729226321913302,4.0
200,2385,2010,0.0007499484345316887,0.0
201,2396,2020,0.7611452341079712,7.0
202,2406,2030,0.0009013062226586044,0.0
203,2416,2040,0.0003789829497691244,-4.0
204,2426,2050,0.007561062928289175,-4.0
205,2436,2060,-6.790134648326784e-05,-4.0
206,2446,2070,0.002560257911682129,-2.0
207,2456,2080,0.0024256680626422167,0.0
208,2466,2090,-0.0018763409461826086,2.0
209,2476,2100,0.0029814441222697496,-2.0
210,2486,2110,0.002643537474796176,-2.0
211,2496,2120,0.0016846224898472428,-4.0
212,2506,2130,0.007812699303030968,0.0
213,2516,2140,0.0018408704781904817,-4.0
214,2526,2150,0.0009662628290243447,0.0
215,2536,2160,0.00171843939460814,-2.0
216,2546,2170,-0.002559368032962084,-2.0
217,2557,2180,-0.7100250124931335,-9.0
218,2568,2190,-0.6836148500442505,-5.0
219,2578,2200,0.004434288013726473,0.0
220,2588,2210,-0.001408070558682084,0.0
221,2598,2220,0.001620311988517642,-4.0
222,2608,2230,-0.000516361091285944,-4.0
223,2618,2240,-2.7089636205346324e-05,4.0
224,2628,2250,-0.0010037889005616307,-4.0
225,2638,2260,0.004395554307848215,-4.0
226,2648,2270,0.012731055729091167,0.0
227,2658,2280,0.00016368922661058605,-4.0
228,2668,2290,-0.00036472565261647105,0.0
229,2678,2300,-0.0004737440904136747,-10.0
230,2688,2310,0.0008528996258974075,-4.0
231,2698,2320,0.0014117959653958678,-4.0
232,2708,2330,8.139792771544307e-05,-2.0
233,2718,2340,0.0022543712984770536,0.0
234,2728,2350,-0.00016377645079046488,-6.0
235,2738,2360,-8.907166920835152e-05,0.0
236,2748,2370,2.0593823137460276e-05,-2.0
237,2758,2380,0.001349591533653438,-4.0
238,2768,2390,0.00012776150833815336,-4.0
239,2778,2400,0.0001555480994284153,-2.0
240,2788,2410,0.0007065635873004794,-2.0
241,2798,2420,0.0007189203170128167,-2.0
242,2808,2430,0.002684598322957754,-2.0
243,2818,2440,0.003765521105378866,-2.0
244,2828,2450,-0.0017556030070409179,0.0
245,2838,2460,0.0004488739068619907,-2.0
246,2848,2470,0.0025628774892538786,0.0
247,2858,2480,-0.0003633480810094625,-6.0
248,2868,2490,0.0013499620836228132,-4.0
249,2878,2500,-0.00023320558830164373,-4.0
250,2888,2510,0.0021384507417678833,4.0
251,2898,2520,0.0002443996781948954,-6.0
252,2908,2530,0.005661266855895519,-2.0
253,2918,2540,-0.000640440615825355,-6.0
254,2928,2550,0.0038717854768037796,-4.0
255,2938,2560,0.0009165117517113686,4.0
256,2948,2570,0.0005349486018531024,-2.0
257,2958,2580,0.0006242651725187898,0.0
258,2968,2590,0.00194484309758991,-6.0
259,2978,2600,0.0019183870172128081,2.0
260,2988,2610,0.0008202969329431653,-4.0
261,2998,2620,-0.00032884019310586154,-4.0
262,3008,2630,0.0014924861025065184,0.0
263,3018,2640,-0.0006293294136412442,-6.0
264,3028,2650,0.0015549834351986647,0.0
265,3038,2660,0.0012073683319613338,4.0
266,3048,2670,0.0009155523148365319,-2.0
267,3058,2680,0.0005082496209070086,-4.0
268,3068,2690,0.00048655737191438675,0.0
269,3078,2700,0.00044177379459142685,-2.0
270,3088,2710,0.0004311078228056431,2.0
271,3098,2720,0.0014581151772290468,-2.0
272,3108,2730,0.002668997971341014,0.0
273,3118,2740,0.0006643335218541324,-6.0
274,3128,2750,0.0006886519840918481,-6.0
275,3138,2760,0.0009696356719359756,-8.0
276,3148,2770,-0.00010907979594776407,-2.0
277,3158,2780,-0.00036292365984991193,-2.0
278,3168,2790,0.00029962375992909074,-4.0
279,3178,2800,0.0003411122306715697,-2.0
280,3188,2810,0.001342623494565487,2.0
281,3198,2820,0.0009613260626792908,-2.0
282,3208,2830,-0.00013845400826539844,-2.0
283,3218,2840,-9.052603127202019e-05,0.0
284,3228,2850,-6.083170956117101e-05,2.0
285,3238,2860,0.0005083458963781595,-4.0
286,3248,2870,0.000393084017559886,4.0
287,3258,2880,0.0014254130655899644,2.0
288,3268,2890,0.008028986863791943,-2.0
289,3278,2900,0.0015002384316176176,0.0
290,3288,2910,0.000331464980263263,0.0
291,3298,2920,0.0006800483679398894,2.0
292,3308,2930,0.0008437681826762855,-2.0
293,3318,2940,0.00013104623940307647,0.0
294,3328,2950,-0.000550866883713752,0.0
295,3338,2960,0.0006707828724756837,-4.0
296,3348,2970,0.0014735005097463727,2.0
297,3358,2980,0.0016069964040070772,-2.0
298,3368,2990,0.00027627713279798627,0.0
299,3378,3000,0.0004524070827756077,0.0
300,3388,3010,0.00028847320936620235,-2.0
301,3398,3020,0.0007954987813718617,0.0
302,3408,3030,0.00031220351229421794,-4.0
303,3418,3040,0.001373026636429131,2.0
304,3428,3050,0.00014388273120857775,0.0
305,3438,3060,2.836093699443154e-05,-6.0
306,3448,3070,0.000170358078321442,-4.0
307,3459,3080,0.8853670954704285,1.0
308,3469,3090,-0.00014601573639083654,0.0
309,3479,3100,0.0001806941581889987,-6.0
310,3489,3110,-0.0005437193321995437,2.0
311,3499,3120,0.00033456069650128484,-2.0
312,3509,3130,7.751654266030528e-06,-4.0
313,3519,3140,-0.001959310844540596,-4.0
314,3529,3150,0.000989152817055583,0.0
315,3539,3160,-0.0004898710758425295,-4.0
316,3549,3170,0.0011434038169682026,-2.0
317,3559,3180,0.0007608541054651141,0.0
318,3569,3190,0.0018196990713477135,-4.0
319,3579,3200,0.0010942526860162616,2.0
320,3589,3210,0.0009954184060916305,2.0
321,3599,3220,0.002582655055448413,0.0
322,3609,3230,-0.00031674589263275266,2.0
323,3619,3240,0.0002884235291276127,2.0
324,3629,3250,0.001633830601349473,-6.0
325,3639,3260,0.0005143354646861553,2.0
326,3649,3270,0.0012938383733853698,2.0
327,3659,3280,0.0006605182425118983,0.0
328,3669,3290,0.0013607887085527182,0.0
329,3679,3300,-0.0005127687472850084,-2.0
330,3689,3310,0.003058275207877159,0.0
331,3699,3320,0.001546789426356554,-4.0
332,3709,3330,-0.0006759952520951629,-2.0
333,3719,3340,0.001459260005503893,2.0
334,3729,3350,0.000911269336938858,-2.0
335,3739,3360,0.002056277124211192,-4.0
336,3749,3370,-0.00010648742318153381,-4.0
337,3759,3380,0.0054770722053945065,0.0
338,3769,3390,0.0006441516452468932,-4.0
339,3779,3400,0.0017844836693257093,-2.0
340,3789,3410,0.0002931193448603153,-6.0
341,3799,3420,0.0015618919860571623,0.0
342,3809,3430,0.0017551707569509745,-2.0
343,3819,3440,-0.00045335301547311246,0.0
344,3829,3450,0.0023577972315251827,-2.0
345,3839,3460,0.000765349599532783,0.0
346,3849,3470,0.0018484893953427672,-6.0
347,3859,3480,0.0003000885481014848,0.0
348,3869,3490,-0.0005229125963523984,0.0
349,3879,3500,0.0005970896454527974,-2.0
350,3889,3510,-2.2184360204846598e-05,-4.0
351,3899,3520,0.00011076820374000818,0.0
352,3909,3530,-0.0001706031325738877,-4.0
353,3919,3540,0.0005819983198307455,0.0
354,3929,3550,0.0034153603482991457,0.0
355,3939,3560,-7.907990220701322e-05,-2.0
356,3949,3570,0.0024438875261694193,6.0
357,3959,3580,-0.00043725763680413365,-6.0
358,3969,3590,0.0008274659630842507,-6.0
359,3979,3600,0.0038061172235757113,0.0
360,3989,3610,0.002875442383810878,-2.0
361,3999,3620,-0.00031998357735574245,-8.0
362,4009,3630,-0.003289175685495138,0.0
363,4019,3640,0.0009724198025651276,0.0
364,4029,3650,0.0033678016625344753,-4.0
365,4039,3660,0.0040034884586930275,0.0
366,4049,3670,0.0004091436567250639,-4.0
367,4059,3680,-0.00033892859937623143,-4.0
368,4069,3690,0.00019061962666455656,-4.0
369,4079,3700,-0.0008576661348342896,-4.0
370,4089,3710,0.001935281790792942,-6.0
371,4099,3720,0.0012354787904769182,-4.0
372,4109,3730,-0.0008789392304606736,0.0
373,4119,3740,0.0014752368442714214,0.0
374,4129,3750,0.0005484159337356687,-6.0
375,4139,3760,0.0013809811789542437,-6.0
376,4149,3770,0.001389895798638463,0.0
377,4159,3780,0.00034767884062603116,-2.0
378,4169,3790,0.001518893986940384,-6.0
379,4179,3800,0.0015335686039179564,0.0
380,4189,3810,0.0016830740496516228,-2.0
381,4199,3820,0.0004170496831648052,2.0
