,trial_name,epochs,learning_rate,dropout_val,l2_val,layer_size,training_loss,training_mae,training_mse,validation_loss,validation_mae,validation_mse,test_loss,test_mae,test_mse
28,Ep50_Lr05_Do5_L2001_Ls58,50,0.05,0.5,0.001,58,0.023913929238915443,0.11210833489894867,0.023913929238915443,0.023358406499028206,0.10868625342845917,0.023358406499028206,0.023300955072045326,0.10857927799224854,0.023300955072045326
29,Ep50_Lr05_Do5_L2001_Ls87,50,0.05,0.5,0.001,87,0.02393251657485962,0.11237426847219467,0.02393251657485962,0.023362180218100548,0.111041359603405,0.023362180218100548,0.0233078021556139,0.1109631285071373,0.0233078021556139
30,Ep50_Lr05_Do5_L20001_Ls29,50,0.05,0.5,0.0001,29,0.023914584890007973,0.11229556798934937,0.023914584890007973,0.023368336260318756,0.10818826407194138,0.023368336260318756,0.023291340097784996,0.1080775186419487,0.023291340097784996
31,Ep50_Lr05_Do5_L20001_Ls58,50,0.05,0.5,0.0001,58,0.02391621470451355,0.11229591071605682,0.02391621470451355,0.0233419518917799,0.11097828298807144,0.0233419518917799,0.023283468559384346,0.11089902371168137,0.023283468559384346
32,Ep50_Lr05_Do5_L20001_Ls87,50,0.05,0.5,0.0001,87,0.022771673277020454,0.10863783210515976,0.022626597434282303,0.021534446626901627,0.0996474027633667,0.02139701321721077,0.021462155506014824,0.09949637204408646,0.021324729546904564
33,Ep50_Lr05_Do5_L21e-05_Ls29,50,0.05,0.5,1e-05,29,0.02393462136387825,0.11216593533754349,0.02393462136387825,0.02336915209889412,0.1106237843632698,0.02336915209889412,0.023316964507102966,0.11054318398237228,0.023316964507102966
34,Ep50_Lr05_Do5_L21e-05_Ls58,50,0.05,0.5,1e-05,58,0.023932598531246185,0.11220088601112366,0.023932598531246185,0.023348720744252205,0.11144694685935974,0.023348720744252205,0.02328794077038765,0.11137240380048752,0.02328794077038765
35,Ep50_Lr05_Do5_L21e-05_Ls87,50,0.05,0.5,1e-05,87,0.023910583928227425,0.11222993582487106,0.023910583928227425,0.02333337813615799,0.1087716817855835,0.02333337813615799,0.02326028421521187,0.10867854207754135,0.02326028421521187
36,Ep50_Lr01_Do2_L2001_Ls29,50,0.01,0.2,0.001,29,0.013175304979085922,0.07119565457105637,0.011654463596642017,0.009257343597710133,0.056080546230077744,0.007758137304335833,0.009348416700959206,0.05625146999955177,0.007849208079278469
37,Ep50_Lr01_Do2_L2001_Ls58,50,0.01,0.2,0.001,58,0.012930133379995823,0.07008209079504013,0.01137783657759428,0.008294513449072838,0.05347864702343941,0.006768657825887203,0.008487184531986713,0.0541483610868454,0.006961326580494642
38,Ep50_Lr01_Do2_L2001_Ls87,50,0.01,0.2,0.001,87,0.012497586198151112,0.06901020556688309,0.011036031879484653,0.007532637566328049,0.05177965387701988,0.0060329558327794075,0.007549187634140253,0.051789864897727966,0.0060495068319141865
39,Ep50_Lr01_Do2_L20001_Ls29,50,0.01,0.2,0.0001,29,0.010461084544658661,0.062323663383722305,0.00945222470909357,0.005545306485146284,0.04442795366048813,0.0045397053472697735,0.005430328194051981,0.04416368901729584,0.004424723796546459
40,Ep50_Lr01_Do2_L20001_Ls58,50,0.01,0.2,0.0001,58,0.010114887729287148,0.06104998663067818,0.008978040888905525,0.006191255059093237,0.04730077087879181,0.0050651272758841515,0.006225039251148701,0.04746455326676369,0.00509891239926219
41,Ep50_Lr01_Do2_L20001_Ls87,50,0.01,0.2,0.0001,87,0.010167893953621387,0.06083507463335991,0.009060973301529884,0.0060476278886199,0.04868607968091965,0.00496317446231842,0.006082842126488686,0.04893547669053078,0.004998389165848494
42,Ep50_Lr01_Do2_L21e-05_Ls29,50,0.01,0.2,1e-05,29,0.008730115368962288,0.058244623243808746,0.008240139111876488,0.0065248277969658375,0.04907240718603134,0.006042253226041794,0.006605153903365135,0.04912068322300911,0.00612257793545723
43,Ep50_Lr01_Do2_L21e-05_Ls58,50,0.01,0.2,1e-05,58,0.0087412865832448,0.05717824772000313,0.008140739984810352,0.005585944280028343,0.04814395308494568,0.004983946681022644,0.005613710731267929,0.048030052334070206,0.005011714529246092
44,Ep50_Lr01_Do2_L21e-05_Ls87,50,0.01,0.2,1e-05,87,0.00873752124607563,0.05649780109524727,0.008069010451436043,0.0070062484592199326,0.053717367351055145,0.006342354230582714,0.007049746345728636,0.053333740681409836,0.006385852582752705
45,Ep50_Lr01_Do3_L2001_Ls29,50,0.01,0.3,0.001,29,0.016297543421387672,0.08259116113185883,0.014899756759405136,0.012200749479234219,0.06921566277742386,0.010716747492551804,0.012286377139389515,0.06957561522722244,0.010802374221384525
46,Ep50_Lr01_Do3_L2001_Ls58,50,0.01,0.3,0.001,58,0.016134323552250862,0.08181997388601303,0.014645817689597607,0.011446087621152401,0.06380978226661682,0.009930304251611233,0.011476121842861176,0.0638682097196579,0.009960336610674858
47,Ep50_Lr01_Do3_L2001_Ls87,50,0.01,0.3,0.001,87,0.015801258385181427,0.07991229742765427,0.014217913150787354,0.011604473926126957,0.06406918913125992,0.010100355371832848,0.011597716249525547,0.06417547911405563,0.010093601420521736
48,Ep50_Lr01_Do3_L20001_Ls29,50,0.01,0.3,0.0001,29,0.013598312623798847,0.07443173229694366,0.012653286568820477,0.009642989374697208,0.05901297554373741,0.008708377368748188,0.009680772200226784,0.0591735914349556,0.008746159262955189
49,Ep50_Lr01_Do3_L20001_Ls58,50,0.01,0.3,0.0001,58,0.013246335089206696,0.07223682105541229,0.01210328284651041,0.011307929642498493,0.0621604286134243,0.01017381064593792,0.011479020118713379,0.062490109354257584,0.010344893671572208
50,Ep50_Lr01_Do3_L20001_Ls87,50,0.01,0.3,0.0001,87,0.012881981208920479,0.07064826041460037,0.011716583743691444,0.008438761346042156,0.05339188873767853,0.007276623509824276,0.008400852791965008,0.053109049797058105,0.007238713558763266
51,Ep50_Lr01_Do3_L21e-05_Ls29,50,0.01,0.3,1e-05,29,0.012114694342017174,0.07020063698291779,0.011594566516578197,0.011580276302993298,0.06355150043964386,0.011068596504628658,0.01156861986964941,0.06335976719856262,0.011056938208639622
52,Ep50_Lr01_Do3_L21e-05_Ls58,50,0.01,0.3,1e-05,58,0.011806480586528778,0.06831968575716019,0.011190827935934067,0.009627033025026321,0.06296880543231964,0.00901586189866066,0.009650486521422863,0.06263253092765808,0.009039313532412052
53,Ep50_Lr01_Do3_L21e-05_Ls87,50,0.01,0.3,1e-05,87,0.011308169923722744,0.06687010824680328,0.010647797025740147,0.008029508404433727,0.058491673320531845,0.007366162724792957,0.008020192384719849,0.058125149458646774,0.007356848102062941
54,Ep50_Lr01_Do4_L2001_Ls29,50,0.01,0.4,0.001,29,0.019250785931944847,0.09481348842382431,0.0181500893086195,0.01496933400630951,0.07974320650100708,0.013858392834663391,0.015000072307884693,0.07983808219432831,0.013889130204916
55,Ep50_Lr01_Do4_L2001_Ls58,50,0.01,0.4,0.001,58,0.018747959285974503,0.09144549816846848,0.017346743494272232,0.012658188119530678,0.06909286230802536,0.011140366084873676,0.012635376304388046,0.06918490678071976,0.011117556132376194
56,Ep50_Lr01_Do4_L2001_Ls87,50,0.01,0.4,0.001,87,0.01853042095899582,0.08899679780006409,0.016977587714791298,0.013627639040350914,0.0714554414153099,0.012078952975571156,0.013623322360217571,0.07113096863031387,0.012074633501470089
57,Ep50_Lr01_Do4_L20001_Ls29,50,0.01,0.4,0.0001,29,0.016234561800956726,0.08413983136415482,0.015436941757798195,0.012101978063583374,0.06866347789764404,0.01128891110420227,0.01214070525020361,0.06874704360961914,0.011327632702887058
58,Ep50_Lr01_Do4_L20001_Ls58,50,0.01,0.4,0.0001,58,0.015931595116853714,0.0821230486035347,0.014935140497982502,0.011625606566667557,0.06995397061109543,0.010623144917190075,0.011785797774791718,0.07031507045030594,0.010783344507217407
59,Ep50_Lr01_Do4_L20001_Ls87,50,0.01,0.4,0.0001,87,0.01569344289600849,0.0812222957611084,0.014565963298082352,0.011768408119678497,0.06704918295145035,0.010657187551259995,0.011834396049380302,0.06718572974205017,0.010723182931542397
60,Ep50_Lr01_Do4_L21e-05_Ls29,50,0.01,0.4,1e-05,29,0.014863383024930954,0.08082331717014313,0.014427675865590572,0.011630074121057987,0.06556013226509094,0.01120042148977518,0.01165191549807787,0.06565085798501968,0.011222265660762787
61,Ep50_Lr01_Do4_L21e-05_Ls58,50,0.01,0.4,1e-05,58,0.01410746481269598,0.07741519063711166,0.013496617786586285,0.013172820210456848,0.06993705779314041,0.012569410726428032,0.013223817571997643,0.07011045515537262,0.012620416469871998
62,Ep50_Lr01_Do4_L21e-05_Ls87,50,0.01,0.4,1e-05,87,0.01393907517194748,0.07645023614168167,0.013223497197031975,0.012310028076171875,0.0745861604809761,0.011588889174163342,0.012345987372100353,0.07433996349573135,0.011624844744801521
63,Ep50_Lr01_Do5_L2001_Ls29,50,0.01,0.5,0.001,29,0.02142506279051304,0.10158652067184448,0.02051534503698349,0.017699504271149635,0.08967261016368866,0.016751915216445923,0.01766664907336235,0.08940292149782181,0.016719069331884384
64,Ep50_Lr01_Do5_L2001_Ls58,50,0.01,0.5,0.001,58,0.020966554060578346,0.09883728623390198,0.01972389407455921,0.01669834740459919,0.0857253223657608,0.015478324145078659,0.01663232408463955,0.08521083742380142,0.015412300825119019
65,Ep50_Lr01_Do5_L2001_Ls87,50,0.01,0.5,0.001,87,0.021268315613269806,0.09999671578407288,0.020187508314847946,0.017916632816195488,0.0873202234506607,0.016823168843984604,0.01789725385606289,0.08704464882612228,0.016803784295916557
66,Ep50_Lr01_Do5_L20001_Ls29,50,0.01,0.5,0.0001,29,0.01902446709573269,0.09402882307767868,0.018301358446478844,0.015696795657277107,0.08094125986099243,0.014965498819947243,0.015764858573675156,0.08105221390724182,0.015033560805022717
67,Ep50_Lr01_Do5_L20001_Ls58,50,0.01,0.5,0.0001,58,0.017972854897379875,0.08951820433139801,0.01699826866388321,0.017289135605096817,0.08317337930202484,0.0163162462413311,0.017401257529854774,0.08338716626167297,0.016428370028734207
